file_name,synth_prediction
POSCAR_mp-1002226_copy1_opt.vasp,0
POSCAR_mp-1002226_copy2_opt.vasp,0
POSCAR_mp-1002227_copy1_opt.vasp,1
POSCAR_mp-1002227_copy2_opt.vasp,1
POSCAR_mp-1002228_copy1_opt.vasp,0
POSCAR_mp-1002228_copy2_opt.vasp,0
POSCAR_mp-1002229_copy1_opt.vasp,0
POSCAR_mp-1002229_copy2_opt.vasp,0
POSCAR_mp-1002230_copy1_opt.vasp,0
POSCAR_mp-1002230_copy2_opt.vasp,0
POSCAR_mp-10025_copy1_opt.vasp,0
POSCAR_mp-10025_copy2_opt.vasp,0
POSCAR_mp-10026_copy2_opt.vasp,0
POSCAR_mp-10030_copy1_opt.vasp,0
POSCAR_mp-10030_copy2_opt.vasp,0
POSCAR_mp-1004377_copy1_opt.vasp,0
POSCAR_mp-1004377_copy2_opt.vasp,0
POSCAR_mp-10044_copy1_opt.vasp,1
POSCAR_mp-1004525_copy1_opt.vasp,0
POSCAR_mp-1004526_copy1_opt.vasp,0
POSCAR_mp-1004526_copy2_opt.vasp,0
POSCAR_mp-10045_copy1_opt.vasp,0
POSCAR_mp-1004753_copy2_opt.vasp,0
POSCAR_mp-1004756_copy1_opt.vasp,0
POSCAR_mp-10047_copy1_opt.vasp,0
POSCAR_mp-10047_copy2_opt.vasp,0
POSCAR_mp-10048_copy1_opt.vasp,0
POSCAR_mp-10048_copy2_opt.vasp,0
POSCAR_mp-1004_copy1_opt.vasp,0
POSCAR_mp-1004_copy2_opt.vasp,0
POSCAR_mp-10051_copy1_opt.vasp,1
POSCAR_mp-10051_copy2_opt.vasp,1
POSCAR_mp-10052_copy1_opt.vasp,0
POSCAR_mp-10052_copy2_opt.vasp,0
POSCAR_mp-10054_copy1_opt.vasp,1
POSCAR_mp-10054_copy2_opt.vasp,1
POSCAR_mp-1005719_copy2_opt.vasp,0
POSCAR_mp-1005727_copy1_opt.vasp,0
POSCAR_mp-1005752_copy1_opt.vasp,0
POSCAR_mp-1005760_copy1_opt.vasp,0
POSCAR_mp-1005761_copy1_opt.vasp,0
POSCAR_mp-1005762_copy2_opt.vasp,0
POSCAR_mp-1005850_copy1_opt.vasp,0
POSCAR_mp-1005895_copy2_opt.vasp,0
POSCAR_mp-1005_copy1_opt.vasp,1
POSCAR_mp-1005_copy2_opt.vasp,0
POSCAR_mp-1006059_copy1_opt.vasp,0
POSCAR_mp-1006059_copy2_opt.vasp,0
POSCAR_mp-1006112_copy1_opt.vasp,0
POSCAR_mp-1006112_copy2_opt.vasp,0
POSCAR_mp-1006115_copy1_opt.vasp,0
POSCAR_mp-1006127_copy2_opt.vasp,0
POSCAR_mp-1006132_copy2_opt.vasp,0
POSCAR_mp-1006150_copy1_opt.vasp,0
POSCAR_mp-1006150_copy2_opt.vasp,0
POSCAR_mp-1006151_copy1_opt.vasp,0
POSCAR_mp-1006164_copy1_opt.vasp,0
POSCAR_mp-1006223_copy1_opt.vasp,0
POSCAR_mp-1006226_copy1_opt.vasp,0
POSCAR_mp-1006226_copy2_opt.vasp,0
POSCAR_mp-1006245_copy1_opt.vasp,0
POSCAR_mp-1006246_copy1_opt.vasp,0
POSCAR_mp-1006258_copy1_opt.vasp,0
POSCAR_mp-1006282_copy1_opt.vasp,0
POSCAR_mp-1006282_copy2_opt.vasp,0
POSCAR_mp-1006323_copy1_opt.vasp,0
POSCAR_mp-1006330_copy2_opt.vasp,0
POSCAR_mp-1006351_copy1_opt.vasp,0
POSCAR_mp-10064_copy1_opt.vasp,0
POSCAR_mp-10064_copy2_opt.vasp,0
POSCAR_mp-1006878_copy2_opt.vasp,0
POSCAR_mp-1006880_copy1_opt.vasp,1
POSCAR_mp-1006880_copy2_opt.vasp,1
POSCAR_mp-1006882_copy1_opt.vasp,1
POSCAR_mp-1006882_copy2_opt.vasp,1
POSCAR_mp-1006883_copy1_opt.vasp,0
POSCAR_mp-1006883_copy2_opt.vasp,0
POSCAR_mp-1006884_copy1_opt.vasp,0
POSCAR_mp-1006884_copy2_opt.vasp,0
POSCAR_mp-1006886_copy1_opt.vasp,0
POSCAR_mp-1006886_copy2_opt.vasp,0
POSCAR_mp-1006887_copy1_opt.vasp,1
POSCAR_mp-1006887_copy2_opt.vasp,1
POSCAR_mp-10074_copy1_opt.vasp,1
POSCAR_mp-10074_copy2_opt.vasp,0
POSCAR_mp-1007656_copy1_opt.vasp,0
POSCAR_mp-1007656_copy2_opt.vasp,0
POSCAR_mp-1007657_copy1_opt.vasp,0
POSCAR_mp-1007657_copy2_opt.vasp,0
POSCAR_mp-1007660_copy1_opt.vasp,0
POSCAR_mp-1007660_copy2_opt.vasp,0
POSCAR_mp-1007664_copy1_opt.vasp,0
POSCAR_mp-1007690_copy1_opt.vasp,0
POSCAR_mp-1007690_copy2_opt.vasp,0
POSCAR_mp-1007692_copy1_opt.vasp,0
POSCAR_mp-1007692_copy2_opt.vasp,0
POSCAR_mp-1007693_copy1_opt.vasp,0
POSCAR_mp-1007693_copy2_opt.vasp,0
POSCAR_mp-1007730_copy2_opt.vasp,0
POSCAR_mp-1007755_copy1_opt.vasp,0
POSCAR_mp-1007755_copy2_opt.vasp,0
POSCAR_mp-1007758_copy1_opt.vasp,1
POSCAR_mp-1007758_copy2_opt.vasp,1
POSCAR_mp-1007761_copy1_opt.vasp,0
POSCAR_mp-1007761_copy2_opt.vasp,0
POSCAR_mp-1007770_copy1_opt.vasp,1
POSCAR_mp-1007770_copy2_opt.vasp,1
POSCAR_mp-1007776_copy1_opt.vasp,1
POSCAR_mp-1007776_copy2_opt.vasp,1
